type	all_kegg_gene_names	gene_definition	refseq_id	ensembl_id	kegg_paths_id	kegg_paths_name
CDS	(RefSeq) olfactory receptor family 4 subfamily F member 5		79501	ENSG00000186092	hsa04740	Olfactory transduction
CDS	(RefSeq) olfactory receptor family 4 subfamily F member 29		729759	ENSG00000284733	hsa04740	Olfactory transduction
CDS	(RefSeq) olfactory receptor family 4 subfamily F member 16		81399	ENSG00000284662	hsa04740	Olfactory transduction
CDS	(RefSeq) hes family bHLH transcription factor 4		57801	ENSG00000188290	hsa05165	Human papillomavirus infection
CDS	(RefSeq) ISG15 ubiquitin like modifier		9636	ENSG00000187608	hsa04622	RIG-I-like receptor signaling pathway
CDS	(RefSeq) ISG15 ubiquitin like modifier		9636	ENSG00000187608	hsa05165	Human papillomavirus infection
CDS	(RefSeq) ISG15 ubiquitin like modifier		9636	ENSG00000187608	hsa05169	Epstein-Barr virus infection
CDS	(RefSeq) ISG15 ubiquitin like modifier		9636	ENSG00000187608	hsa05171	Coronavirus disease - COVID-19
CDS	(RefSeq) agrin		375790	ENSG00000188157	hsa04512	ECM-receptor interaction
miRNA	(RefSeq) microRNA 200b		406984	ENSG00000207730	hsa05206	MicroRNAs in cancer
miRNA	(RefSeq) microRNA 200a		406983	ENSG00000207607	hsa05206	MicroRNAs in cancer
CDS	(RefSeq) TNF receptor superfamily member 18		8784	ENSG00000186891	hsa04060	Cytokine-cytokine receptor interaction
CDS	(RefSeq) TNF receptor superfamily member 4		7293	ENSG00000186827	hsa04060	Cytokine-cytokine receptor interaction
CDS	(RefSeq) beta-1,3-galactosyltransferase 6		126792	ENSG00000176022	hsa00532	Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate
CDS	(RefSeq) beta-1,3-galactosyltransferase 6		126792	ENSG00000176022	hsa00534	Glycosaminoglycan biosynthesis - heparan sulfate / heparin
CDS	(RefSeq) beta-1,3-galactosyltransferase 6		126792	ENSG00000176022	hsa01100	Metabolic pathways
CDS	(RefSeq) ubiquitin conjugating enzyme E2 J2		118424	ENSG00000160087	hsa04120	Ubiquitin mediated proteolysis
CDS	(RefSeq) ubiquitin conjugating enzyme E2 J2		118424	ENSG00000160087	hsa04141	Protein processing in endoplasmic reticulum
CDS	(RefSeq) ubiquitin conjugating enzyme E2 J2		118424	ENSG00000160087	hsa05012	Parkinson disease
CDS	(RefSeq) ubiquitin conjugating enzyme E2 J2		118424	ENSG00000160087	hsa05022	Pathways of neurodegeneration - multiple diseases
CDS	(RefSeq) ArfGAP with coiled-coil, ankyrin repeat and PH domains 3		116983	ENSG00000131584	hsa04144	Endocytosis
CDS	(RefSeq) taste 1 receptor member 3		83756	ENSG00000169962	hsa04742	Taste transduction
CDS	(RefSeq) taste 1 receptor member 3		83756	ENSG00000169962	hsa04973	Carbohydrate digestion and absorption
CDS	(RefSeq) dishevelled segment polarity protein 1		1855	ENSG00000107404	hsa04150	mTOR signaling pathway
CDS	(RefSeq) dishevelled segment polarity protein 1		1855	ENSG00000107404	hsa04310	Wnt signaling pathway
CDS	(RefSeq) dishevelled segment polarity protein 1		1855	ENSG00000107404	hsa04330	Notch signaling pathway
CDS	(RefSeq) dishevelled segment polarity protein 1		1855	ENSG00000107404	hsa04390	Hippo signaling pathway
CDS	(RefSeq) dishevelled segment polarity protein 1		1855	ENSG00000107404	hsa04550	Signaling pathways regulating pluripotency of stem cells
CDS	(RefSeq) dishevelled segment polarity protein 1		1855	ENSG00000107404	hsa04916	Melanogenesis
CDS	(RefSeq) dishevelled segment polarity protein 1		1855	ENSG00000107404	hsa04934	Cushing syndrome
CDS	(RefSeq) dishevelled segment polarity protein 1		1855	ENSG00000107404	hsa05010	Alzheimer disease
CDS	(RefSeq) dishevelled segment polarity protein 1		1855	ENSG00000107404	hsa05022	Pathways of neurodegeneration - multiple diseases
CDS	(RefSeq) dishevelled segment polarity protein 1		1855	ENSG00000107404	hsa05165	Human papillomavirus infection
CDS	(RefSeq) dishevelled segment polarity protein 1		1855	ENSG00000107404	hsa05200	Pathways in cancer
CDS	(RefSeq) dishevelled segment polarity protein 1		1855	ENSG00000107404	hsa05217	Basal cell carcinoma
CDS	(RefSeq) dishevelled segment polarity protein 1		1855	ENSG00000107404	hsa05224	Breast cancer
CDS	(RefSeq) dishevelled segment polarity protein 1		1855	ENSG00000107404	hsa05225	Hepatocellular carcinoma
CDS	(RefSeq) dishevelled segment polarity protein 1		1855	ENSG00000107404	hsa05226	Gastric cancer
CDS	(RefSeq) mitochondrial ribosomal protein L20		55052	ENSG00000242485	hsa03010	Ribosome
CDS	(RefSeq) SSU72 homolog, RNA polymerase II CTD phosphatase		29101	ENSG00000160075	hsa03015	mRNA surveillance pathway
CDS	(RefSeq) MIB E3 ubiquitin protein ligase 2		142678	ENSG00000197530	hsa05417	Lipid and atherosclerosis
CDS	(RefSeq) NAD kinase		65220	ENSG00000008130	hsa00760	Nicotinate and nicotinamide metabolism
CDS	(RefSeq) NAD kinase		65220	ENSG00000008130	hsa01100	Metabolic pathways
CDS	(RefSeq) NAD kinase		65220	ENSG00000008130	hsa01240	Biosynthesis of cofactors
CDS	(RefSeq) G protein subunit beta 1		2782	ENSG00000078369	hsa04014	Ras signaling pathway
CDS	(RefSeq) G protein subunit beta 1		2782	ENSG00000078369	hsa04062	Chemokine signaling pathway
CDS	(RefSeq) G protein subunit beta 1		2782	ENSG00000078369	hsa04151	PI3K-Akt signaling pathway
CDS	(RefSeq) G protein subunit beta 1		2782	ENSG00000078369	hsa04371	Apelin signaling pathway
CDS	(RefSeq) G protein subunit beta 1		2782	ENSG00000078369	hsa04713	Circadian entrainment
CDS	(RefSeq) G protein subunit beta 1		2782	ENSG00000078369	hsa04723	Retrograde endocannabinoid signaling
